date,electricity_price
2005-01-31,79.50650855358636
2005-02-01,80.94462684120325
2005-02-02,78.7799356094456
2005-02-03,81.41229328135668
2005-02-04,84.55401527067764
2005-02-05,79.94837764388376
2005-02-06,77.08119570628384
2005-02-07,78.04541467649067
2005-02-08,77.81981805027924
2005-02-09,78.39650408966682
2005-02-10,76.73267495446218
2005-02-11,79.71051509334472
2005-02-12,82.41612582549294
2005-02-13,83.21474027473512
2005-02-14,86.85661787059404
2005-02-15,88.73089961156059
2005-02-16,87.05032900045762
2005-02-17,88.66001048881884
2005-02-18,86.71261160332767
2005-02-19,89.68791267454017
2005-02-20,90.17584875340515
2005-02-21,90.30225444852876
2005-02-22,89.09956518927807
2005-02-23,92.9967770001165
2005-02-24,93.20445249352065
2005-02-25,92.67854994270613
2005-02-26,92.35679196331841
2005-02-27,94.40468959362262
2005-02-28,96.0055115067834
2005-03-01,97.0302691847636
2005-03-02,98.10349043922285
2005-03-03,103.76046785971683
2005-03-04,102.5905127623989
2005-03-05,101.13701728105136
2005-03-06,98.87564331880122
2005-03-07,100.44495286674774
2005-03-08,103.38870575956544
2005-03-09,103.00234847243323
2005-03-10,100.6702854812628
2005-03-11,98.38022065378486
2005-03-12,100.0422685462173
2005-03-13,101.95258075015055
2005-03-14,103.32677248174681
2005-03-15,101.4626342986023
2005-03-16,102.00359381828933
2005-03-17,102.23516394711373
2005-03-18,102.7400264757317
2005-03-19,104.99375229313655
2005-03-20,105.51176184186974
2005-03-21,107.2496885687372
2005-03-22,107.34968877635848
2005-03-23,108.04325401930805
2005-03-24,109.65357989318689
2005-03-25,105.66841275577558
2005-03-26,104.73086720173764
2005-03-27,103.38955270569812
2005-03-28,101.59676830455854
2005-03-29,100.77852760510937
2005-03-30,104.7028081254989
2005-03-31,102.3019559982818
2005-04-01,104.7608273226996
2005-04-02,100.11657283310653
2005-04-03,99.0839253753932
2005-04-04,99.38458176605117
2005-04-05,100.81982412979625
2005-04-06,102.58998588002608
2005-04-07,104.58017054844719
2005-04-08,103.51044196331924
2005-04-09,102.13627739327941
2005-04-10,104.29961926842002
2005-04-11,103.65166242936264
2005-04-12,100.09835990654567
2005-04-13,96.92658219534027
2005-04-14,94.32772471518969
2005-04-15,95.52434757157003
2005-04-16,95.77054168071037
2005-04-17,97.485132210907
2005-04-18,96.20500752112427
2005-04-19,96.4943751703013
2005-04-20,98.03509496814168
2005-04-21,97.07087186878945
2005-04-22,98.15929129026155
2005-04-23,96.25041488299514
2005-04-24,95.14229572823984
2005-04-25,93.98411707725289
2005-04-26,90.6447448860815
2005-04-27,91.81407069515436
2005-04-28,90.4210158467004
2005-04-29,90.3190888470724
2005-04-30,91.4717340355229
2005-05-01,93.46023966330861
2005-05-02,96.03511276155626
2005-05-03,96.56337485474874
2005-05-04,96.22137762249021
2005-05-05,96.79992219679737
2005-05-06,93.0712384498727
